ftype,feature,machine,median_sdr,median_sdr_ci_lo,median_sdr_ci_hi,share,share_ci_lo,share_ci_hi,share_wilson_lo,share_wilson_hi,mde,mde_ci_lo,mde_ci_hi,mde_undetectable_frac
TURNS,Vq_2fe,SCIG,2.576625190690107,0.5163060270298394,5.329560034526107,0.6018518518518519,0.3425925925925926,0.8425925925925926,0.5075620937035107,0.6891446773011959,7.4,7.4,7.7,0.0
TURNS,Vq_2fe,SCIG/PMSG ratio of medians,1.4891091151244624,0.4635914546214691,3.2062291864397796,0.02702777777777776,-0.16666666666666674,0.2129629629629629,,,,,,
WINDINGS,V2_V1,PMSG,61.897535214311716,9.243282437268316,181.10722562485515,0.9444444444444444,0.8703703703703703,1.0,0.884064198126811,0.9742926208028179,2.3,2.3,14.3,0.0
WINDINGS,V2_V1,SCIG,48.19233280394347,15.277409169315105,187.69841192402077,1.0,1.0,1.0,0.9656514212958325,0.9999999999999998,2.3,2.3,2.3,0.0
WINDINGS,V2_V1,SCIG/PMSG ratio of medians,0.9744329154285973,0.6959322654263201,1.6844529588655701,0.05555555555555558,0.0,0.12962962962962965,,,,,,
WINDINGS,I2_I1,PMSG,11.316156734412056,1.9783825052778918,64.2612330380807,0.8148148148148148,0.6388888888888888,0.9444444444444444,0.731201348465496,0.8768013982763245,9.7,9.537500000000009,21.7,0.0
WINDINGS,I2_I1,SCIG,55.60793972445563,12.50191327747018,117.0005268904168,1.0,1.0,1.0,0.9656514212958325,0.9999999999999998,2.3,2.3,2.3,0.0
WINDINGS,I2_I1,SCIG/PMSG ratio of medians,5.494188818659123,1.750694913995813,13.129493007582493,0.18682407407407398,0.05555555555555558,0.36111111111111116,,,,,,
WINDINGS,Id_2fe,PMSG,4.1432951973395475,1.1637423714750674,12.717610488358977,0.7222222222222222,0.5275462962962963,0.9074074074074074,0.6312274537719466,0.797950955692868,21.7,9.7,21.7,0.0
WINDINGS,Id_2fe,SCIG,73.9714307758951,22.92399083932467,245.22152036133332,1.0,1.0,1.0,0.9656514212958325,0.9999999999999998,2.3,2.3,2.3,0.0
WINDINGS,Id_2fe,SCIG/PMSG ratio of medians,18.50785114234066,12.425021050364299,27.524506083340274,0.28087962962962953,0.09259259259259256,0.47245370370370243,,,,,,
WINDINGS,PId_2fe,PMSG,4.2056138843028705,1.178732892175773,12.997008893263992,0.7222222222222222,0.5275462962962963,0.9074074074074074,0.6312274537719466,0.797950955692868,21.7,9.7,21.7,0.0
WINDINGS,PId_2fe,SCIG,74.01292050093355,22.938265981693707,245.45857676432877,1.0,1.0,1.0,0.9656514212958325,0.9999999999999998,2.3,2.3,2.3,0.0
WINDINGS,PId_2fe,SCIG/PMSG ratio of medians,18.243044784669593,12.271903981832407,27.223290948275192,0.28087962962962953,0.09259259259259256,0.47245370370370243,,,,,,
WINDINGS,Vq_2fe,PMSG,22.397580687088812,3.243492900598402,61.975340401774936,0.8981481481481481,0.7870370370370371,0.9814814814814815,0.8267733718798516,0.9421712784112743,9.7,2.3,14.3,0.0
WINDINGS,Vq_2fe,SCIG,24.799935495440153,7.043463077305413,78.59362520589502,0.9166666666666666,0.8048611111111111,1.0,0.8491694181597665,0.9555400995867606,9.7,2.3,9.7,0.0
WINDINGS,Vq_2fe,SCIG/PMSG ratio of medians,1.1303853288951176,0.8307217312980711,1.8966628826186782,0.01952777777777759,-0.01851851851851849,0.06481481481481477,,,,,,
