machine,ftype,feature,group,n,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
SCIG,WINDINGS,Spd_std,mechanical,108,2.5616823448286645,0.6106610195283975,14.309101174749417,0.6851851851851852,0.0,1.1704428285616042
SCIG,WINDINGS,Vdc_std,mechanical,108,3.22736663840627,1.199320826166605,9.106545098646428,0.7777777777777778,0.2222222222222222,-0.013621179799947251
WFSG,TURNS,I2_I1,stator current,176,1.983163035018416,0.8681519124851793,8.261625378859675,0.7159090909090909,,0.03715085065273946
WFSG,TURNS,I0_I1,stator current,176,0.5173149515552721,0.25965949625105317,1.0406308958714219,0.26136363636363635,,-0.02702090548267333
WFSG,TURNS,I_unbal_rms,stator current,176,5.604521531351469,1.4470702874347663,7.806040218187974,0.8011363636363636,,0.0017651565953964814
WFSG,TURNS,Ia_h3,stator current,176,4.720266958194006,1.9404779006916097,9.26248618902468,0.8238636363636364,,2.641886611749224
WFSG,TURNS,Ia_h5,stator current,176,1.43190922414248,0.44937790787878473,3.2406147244437165,0.6022727272727273,,0.01135922803466103
WFSG,TURNS,Ia_h7,stator current,176,0.950199216073095,0.4042352945007931,1.8242998654653808,0.48295454545454547,,-0.05421629889651347
WFSG,TURNS,Ia_thd,stator current,176,1.5001515557084908,0.6002399931801343,3.3415004277784526,0.625,,0.05178240959821151
WFSG,TURNS,Id_2fe,dq / control,176,3.0999324859243678,1.3727855112746092,5.11179061854903,0.7840909090909091,,-0.008477333318390205
WFSG,TURNS,Iq_2fe,dq / control,176,7.272008546421015,1.6721558990598628,11.111962244361697,0.8238636363636364,,0.5950030662717551
WFSG,TURNS,Id_1fe,dq / control,176,0.7468952204374812,0.3894554792641804,1.190128884227196,0.3181818181818182,,0.004067352414248043
WFSG,TURNS,Iq_1fe,dq / control,176,0.3898111387428261,0.2061364862778607,0.718890849585129,0.13636363636363635,,0.01347093964252578
WFSG,TURNS,Id_std,dq / control,176,0.942157713783849,0.4094028827903896,2.183969972936744,0.4772727272727273,,0.013331038595924567
WFSG,TURNS,Iq_std,dq / control,176,2.984289348745027,0.9763034962555246,7.930106862406401,0.7329545454545454,,0.09644476042928035
WFSG,TURNS,Vd_2fe,dq / control,176,2.5456049866173998,1.000344334384725,5.480084955773484,0.75,,0.06698746599949348
WFSG,TURNS,Vq_2fe,dq / control,176,4.883787754582118,1.519762286592356,8.151197284968639,0.8125,,-0.018064165416262982
WFSG,TURNS,Vdconv_2fe,dq / control,176,3.173519463169108,1.3569885042898426,5.144836520778477,0.7897727272727273,,-0.0125500750199558
WFSG,TURNS,Vqconv_2fe,dq / control,176,7.072036288468805,1.6222143564112348,10.730607694003929,0.8238636363636364,,0.599516966110315
WFSG,TURNS,D2_D1,dq / control,176,3.1906353593553867,1.38331478179922,11.016968311969508,0.8068181818181818,,0.05467863710546785
