alpha,e_req_pct,machine,ftype,suite,cost_rank,fixed_feature,mde_monotone_pct,mde_ci_lo,mde_ci_hi,p_meets,verdict,ds_conditional,ds_all,smallest_extent_tested_pct
0.9,3,WFSG,TURNS,3 CT,1,Ia_h3,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,5,WFSG,TURNS,3 CT,1,Ia_h3,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,8,WFSG,TURNS,3 CT,1,Ia_h3,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,12,WFSG,TURNS,3 CT,1,Ia_h3,11.599999999999994,11.599999999999994,11.599999999999994,1.0,meets,0.9682539682539683,0.9829059829059829,11.599999999999994
0.9,3,WFSG,TURNS,3 CT + 3 VT,2,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,5,WFSG,TURNS,3 CT + 3 VT,2,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,8,WFSG,TURNS,3 CT + 3 VT,2,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,12,WFSG,TURNS,3 CT + 3 VT,2,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,1.0,meets,0.9682539682539683,0.9829059829059829,11.599999999999994
0.9,3,WFSG,TURNS,3 CT + 3 VT + drive,3,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,5,WFSG,TURNS,3 CT + 3 VT + drive,3,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,8,WFSG,TURNS,3 CT + 3 VT + drive,3,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.9829059829059829,0.9829059829059829,11.599999999999994
0.9,12,WFSG,TURNS,3 CT + 3 VT + drive,3,V2_V1,11.599999999999994,11.599999999999994,11.599999999999994,1.0,meets,0.9682539682539683,0.9829059829059829,11.599999999999994
0.9,3,WFSG,TURNS,excitation (WFSG only),0,If_2fe,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.8974358974358975,0.8974358974358975,11.599999999999994
0.9,5,WFSG,TURNS,excitation (WFSG only),0,If_2fe,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.8974358974358975,0.8974358974358975,11.599999999999994
0.9,8,WFSG,TURNS,excitation (WFSG only),0,If_2fe,11.599999999999994,11.599999999999994,11.599999999999994,0.0,fails,0.8974358974358975,0.8974358974358975,11.599999999999994
0.9,12,WFSG,TURNS,excitation (WFSG only),0,If_2fe,11.599999999999994,11.599999999999994,11.599999999999994,1.0,meets,0.8888888888888888,0.8974358974358975,11.599999999999994
0.9,3,WFSG,WINDINGS,drive-internal,0,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,WFSG,WINDINGS,drive-internal,0,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,WFSG,WINDINGS,drive-internal,0,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,WFSG,WINDINGS,drive-internal,0,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,,1.0,2.3000000000000007
0.9,3,WFSG,WINDINGS,3 CT,1,Ia_h3,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,WFSG,WINDINGS,3 CT,1,Ia_h3,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,WFSG,WINDINGS,3 CT,1,Ia_h3,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,WFSG,WINDINGS,3 CT,1,Ia_h3,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,,1.0,2.3000000000000007
0.9,3,WFSG,WINDINGS,3 CT + 3 VT,2,V2_V1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,WFSG,WINDINGS,3 CT + 3 VT,2,V2_V1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,WFSG,WINDINGS,3 CT + 3 VT,2,V2_V1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,WFSG,WINDINGS,3 CT + 3 VT,2,V2_V1,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,,1.0,2.3000000000000007
0.9,3,WFSG,WINDINGS,3 CT + 3 VT + drive,3,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,WFSG,WINDINGS,3 CT + 3 VT + drive,3,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,WFSG,WINDINGS,3 CT + 3 VT + drive,3,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,WFSG,WINDINGS,3 CT + 3 VT + drive,3,Iq_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,,1.0,2.3000000000000007
0.9,3,WFSG,WINDINGS,excitation (WFSG only),0,If_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,5,WFSG,WINDINGS,excitation (WFSG only),0,If_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,8,WFSG,WINDINGS,excitation (WFSG only),0,If_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,1.0,1.0,2.3000000000000007
0.9,12,WFSG,WINDINGS,excitation (WFSG only),0,If_2fe,2.3000000000000007,2.3000000000000007,2.3000000000000007,1.0,meets,,1.0,2.3000000000000007
0.95,3,PMSG,TURNS,drive-internal,0,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,0.0,fails,0.8148148148148148,0.6481481481481481,2.699999999999996
0.95,5,PMSG,TURNS,drive-internal,0,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,0.311,uncertain,0.8611111111111112,0.6481481481481481,2.699999999999996
0.95,8,PMSG,TURNS,drive-internal,0,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,1.0,meets,0.9722222222222222,0.6481481481481481,2.699999999999996
0.95,12,PMSG,TURNS,drive-internal,0,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,1.0,meets,1.0,0.6481481481481481,2.699999999999996
0.95,3,PMSG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.1,0.0,fails,0.7283950617283951,0.5740740740740741,2.699999999999996
0.95,5,PMSG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.1,0.001,fails,0.8055555555555556,0.5740740740740741,2.699999999999996
0.95,8,PMSG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.1,0.905,uncertain,0.8888888888888888,0.5740740740740741,2.699999999999996
0.95,12,PMSG,TURNS,3 CT,1,I2_I1,7.399999999999999,7.399999999999999,12.1,0.97,meets,0.8888888888888888,0.5740740740740741,2.699999999999996
0.95,3,PMSG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.1,0.0,fails,0.7283950617283951,0.5740740740740741,2.699999999999996
0.95,5,PMSG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.1,0.001,fails,0.8055555555555556,0.5740740740740741,2.699999999999996
0.95,8,PMSG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.1,0.899,uncertain,0.8888888888888888,0.5740740740740741,2.699999999999996
0.95,12,PMSG,TURNS,3 CT + 3 VT,2,I2_I1,7.399999999999999,7.399999999999999,12.1,0.956,meets,0.8888888888888888,0.5740740740740741,2.699999999999996
0.95,3,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,0.0,fails,0.8148148148148148,0.6481481481481481,2.699999999999996
0.95,5,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,0.301,uncertain,0.8611111111111112,0.6481481481481481,2.699999999999996
0.95,8,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,0.999,meets,0.9722222222222222,0.6481481481481481,2.699999999999996
0.95,12,PMSG,TURNS,3 CT + 3 VT + drive,3,D2_D1,7.399999999999999,3.8000000000000114,7.689999999999999,0.999,meets,1.0,0.6481481481481481,2.699999999999996
0.95,3,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.123,uncertain,0.9090909090909091,0.9074074074074074,2.3000000000000007
0.95,5,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.123,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.95,8,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.123,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.95,12,PMSG,WINDINGS,drive-internal,0,D2_D1,14.34,2.3000000000000007,14.34,0.142,uncertain,1.0,0.9074074074074074,2.3000000000000007
0.95,3,PMSG,WINDINGS,3 CT,1,I2_I1,9.7,3.199999999999996,14.34,0.002,fails,0.8888888888888888,0.8333333333333334,2.3000000000000007
0.95,5,PMSG,WINDINGS,3 CT,1,I2_I1,9.7,3.199999999999996,14.34,0.029,fails,0.9555555555555556,0.8333333333333334,2.3000000000000007
0.95,8,PMSG,WINDINGS,3 CT,1,I2_I1,9.7,3.199999999999996,14.34,0.029,fails,0.9555555555555556,0.8333333333333334,2.3000000000000007
0.95,12,PMSG,WINDINGS,3 CT,1,I2_I1,9.7,3.199999999999996,14.34,0.974,meets,0.9861111111111112,0.8333333333333334,2.3000000000000007
0.95,3,PMSG,WINDINGS,3 CT + 3 VT,2,I2_I1,9.7,3.199999999999996,14.34,0.0,fails,0.8888888888888888,0.8333333333333334,2.3000000000000007
0.95,5,PMSG,WINDINGS,3 CT + 3 VT,2,I2_I1,9.7,3.199999999999996,14.34,0.034,fails,0.9555555555555556,0.8333333333333334,2.3000000000000007
0.95,8,PMSG,WINDINGS,3 CT + 3 VT,2,I2_I1,9.7,3.199999999999996,14.34,0.034,fails,0.9555555555555556,0.8333333333333334,2.3000000000000007
0.95,12,PMSG,WINDINGS,3 CT + 3 VT,2,I2_I1,9.7,3.199999999999996,14.34,0.972,meets,0.9861111111111112,0.8333333333333334,2.3000000000000007
0.95,3,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.129,uncertain,0.9090909090909091,0.9074074074074074,2.3000000000000007
0.95,5,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.129,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.95,8,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.129,uncertain,0.9333333333333333,0.9074074074074074,2.3000000000000007
0.95,12,PMSG,WINDINGS,3 CT + 3 VT + drive,3,D2_D1,14.34,2.3000000000000007,14.34,0.148,uncertain,1.0,0.9074074074074074,2.3000000000000007
0.95,3,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.001,fails,0.8641975308641975,0.7314814814814815,2.699999999999996
0.95,5,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.131,uncertain,0.9305555555555556,0.7314814814814815,2.699999999999996
0.95,8,SCIG,TURNS,drive-internal,0,Vdconv_2fe,7.399999999999999,3.8000000000000114,7.399999999999999,0.999,meets,0.9722222222222222,0.7314814814814815,2.699999999999996
