machine,ftype,feature,group,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
SCIG,TURNS,Vd_2fe,dq / control,3.252106400220411,0.8059350540791291,12.310484661631572,0.6944444444444444,0.0,0.016216158744145483
SCIG,TURNS,Vq_2fe,dq / control,2.576625190690107,0.44246928627768545,5.335315108654471,0.6018518518518519,0.1111111111111111,0.03301719090574829
SCIG,TURNS,PId_2fe,dq / control,6.685069382094998,1.124085336188909,19.91506546543133,0.7777777777777778,0.1111111111111111,0.015070278120720572
SCIG,TURNS,PIq_2fe,dq / control,2.3183634629486756,0.5928511464230171,6.559555864703659,0.6481481481481481,0.1111111111111111,0.049811264271183375
SCIG,TURNS,PId_std,dq / control,0.5456226949088996,0.20375753771757293,0.9538519547047933,0.23148148148148148,0.0,0.01821564446708931
SCIG,TURNS,PIq_std,dq / control,0.628865870418527,0.2633341084073781,1.453966299941511,0.3611111111111111,0.1111111111111111,0.0007490357924033713
SCIG,TURNS,D2_D1,dq / control,11.061666817505284,1.4502782458596366,18.204902679884988,0.8148148148148148,0.4444444444444444,0.01686205833044577
SCIG,TURNS,V2_V1,dq / control,4.170551192564298,0.865272379091892,14.25976609489734,0.7314814814814815,0.0,0.025761326505644052
SCIG,TURNS,Te_2fe,mechanical,0.3725014843417471,0.17731365470788418,0.6255970055087489,0.12962962962962962,0.0,0.02978492019177062
SCIG,TURNS,Te_1fe,mechanical,0.3191748454840776,0.12458776528035621,0.5623301665850318,0.037037037037037035,0.0,0.042929904978774344
SCIG,TURNS,Te_std,mechanical,0.4420631636174648,0.20601100778822495,0.8584719075738821,0.1574074074074074,0.0,0.03711031477803237
SCIG,TURNS,Spd_std,mechanical,0.553347457886074,0.3160991114252328,0.9298760079345806,0.2222222222222222,0.0,0.190667701254749
SCIG,TURNS,Vdc_std,mechanical,0.6563999462021638,0.29327587941807076,1.3949223892137468,0.3148148148148148,0.2222222222222222,-0.0023410339408456394
SCIG,WINDINGS,I2_I1,stator current,55.60793972445563,11.922335106400261,162.8056971872016,1.0,0.1111111111111111,1.8688085122707634
SCIG,WINDINGS,I0_I1,stator current,1.1191913082478067,0.26149673340024143,2.914667036434785,0.5277777777777778,0.0,-0.0017281989941002347
SCIG,WINDINGS,I_unbal_rms,stator current,4.036315501535625,1.4045678009206646,11.586225809429374,0.7685185185185185,0.1111111111111111,0.0744795471616257
SCIG,WINDINGS,Ia_h3,stator current,10.656594561760171,2.62021365664359,28.953623810054193,0.8796296296296297,0.2222222222222222,0.37226263518463276
SCIG,WINDINGS,Ia_h5,stator current,2.252973794640165,0.8282728756325209,10.113759075321568,0.6851851851851852,0.0,0.02697782392643075
SCIG,WINDINGS,Ia_h7,stator current,0.8580375852774735,0.34539054328251256,1.6731957074785537,0.4537037037037037,0.3333333333333333,-0.006266655088574372
SCIG,WINDINGS,Ia_thd,stator current,1.9583466391171438,0.5173821372601853,8.225832158586304,0.6018518518518519,0.0,0.08232806097901343
SCIG,WINDINGS,Id_2fe,dq / control,73.9714307758951,24.73269783689824,262.7397754656153,1.0,0.1111111111111111,1.1877360636843177
SCIG,WINDINGS,Iq_2fe,dq / control,22.036559510859142,5.7522656819875575,60.503181240869466,0.8796296296296297,0.2222222222222222,1.311937671526041
SCIG,WINDINGS,Id_1fe,dq / control,0.3687677051356819,0.12930810201622564,0.6208097744813726,0.09259259259259259,0.1111111111111111,-0.0050772760864286485
SCIG,WINDINGS,Iq_1fe,dq / control,0.4992362950425139,0.25959800073843,1.0533726678070183,0.26851851851851855,0.0,-0.019816757846149224
SCIG,WINDINGS,Id_std,dq / control,2.746283077352184,0.5674102940621308,13.36410753577903,0.6851851851851852,0.0,0.3224913962797276
